Make,Model,Year,Engine.Fuel.Type,Engine.HP,Engine.Cylinders,Transmission.Type,Driven_Wheels,Number.of.Doors,Vehicle.Size,Vehicle.Style,highway.MPG,city.mpg,Popularity,MSRP,Market.Category
Acura,Integra,2001,premium unleaded (required),170,4,MANUAL,front wheel drive,2,Compact,2dr Hatchback,28,22,204,22300,"Hatchback,Luxury,Performance"
Acura,ILX,2016,premium unleaded (recommended),201,4,AUTOMATED_MANUAL,front wheel drive,4,Compact,Sedan,36,25,204,31890,Luxury
Acura,NSX,2017,premium unleaded (required),573,6,AUTOMATED_MANUAL,all wheel drive,2,Compact,Coupe,22,21,204,156000,"Exotic,Luxury,High-Performance,Hybrid"
Acura,Integra,2001,premium unleaded (required),170,4,MANUAL,front wheel drive,4,Compact,Sedan,28,22,204,22600,"Luxury,Performance"
Acura,NSX,2004,regular unleaded,290,6,MANUAL,rear wheel drive,2,Compact,Coupe,22,16,204,89000,"Exotic,Luxury,High-Performance"
Acura,MDX,2016,premium unleaded (recommended),290,6,AUTOMATIC,front wheel drive,4,Midsize,4dr SUV,27,19,204,49440,"Crossover,Luxury"
Acura,RDX,2017,premium unleaded (recommended),279,6,AUTOMATIC,front wheel drive,4,Midsize,4dr SUV,28,20,204,40570,"Crossover,Luxury"
Acura,RLX,2015,premium unleaded (recommended),310,6,AUTOMATIC,front wheel drive,4,Midsize,Sedan,31,20,204,54450,"Luxury,Performance"
Acura,RDX,2016,premium unleaded (recommended),279,6,AUTOMATIC,all wheel drive,4,Midsize,4dr SUV,28,19,204,41870,"Crossover,Luxury"
Acura,MDX,2017,premium unleaded (recommended),290,6,AUTOMATIC,front wheel drive,4,Midsize,4dr SUV,27,20,204,56400,"Crossover,Luxury"
Acura,MDX,2017,premium unleaded (recommended),290,6,AUTOMATIC,front wheel drive,4,Midsize,4dr SUV,27,19,204,43950,"Crossover,Luxury"
