Make,Model,Year,Engine.Fuel.Type,Engine.HP,Engine.Cylinders,Transmission.Type,Driven_Wheels,Number.of.Doors,Vehicle.Size,Vehicle.Style,highway.MPG,city.mpg,Popularity,MSRP,Market.Category
Acura,Vigor,1993,regular unleaded,176,5,MANUAL,front wheel drive,4,Midsize,Sedan,24,18,204,2000,Luxury
Acura,RSX,2006,regular unleaded,155,4,AUTOMATIC,front wheel drive,2,Compact,2dr Hatchback,31,22,204,21225,"Hatchback,Luxury"
Acura,TL,2012,premium unleaded (required),280,6,AUTOMATIC,front wheel drive,4,Midsize,Sedan,29,20,204,35705,Luxury
Acura,Vigor,1993,regular unleaded,176,5,MANUAL,front wheel drive,4,Midsize,Sedan,24,18,204,2000,Luxury
Acura,Integra,2001,regular unleaded,140,4,AUTOMATIC,front wheel drive,4,Compact,Sedan,28,21,204,21000,Luxury
Acura,MDX,2016,premium unleaded (recommended),290,6,AUTOMATIC,all wheel drive,4,Midsize,4dr SUV,26,19,204,55230,"Crossover,Luxury"
Acura,Integra,2001,regular unleaded,140,4,AUTOMATIC,front wheel drive,4,Compact,Sedan,28,21,204,22400,Luxury
Acura,TL,2012,premium unleaded (required),305,6,AUTOMATIC,all wheel drive,4,Midsize,Sedan,26,18,204,42985,"Luxury,Performance"
Acura,Vigor,1994,regular unleaded,176,5,MANUAL,front wheel drive,4,Midsize,Sedan,24,18,204,2000,Luxury
Acura,Integra,2001,regular unleaded,140,4,AUTOMATIC,front wheel drive,2,Compact,2dr Hatchback,28,21,204,21850,"Hatchback,Luxury"
Acura,MDX,2016,premium unleaded (recommended),290,6,AUTOMATIC,all wheel drive,4,Midsize,4dr SUV,26,18,204,45015,"Crossover,Luxury"
Acura,MDX,2016,premium unleaded (recommended),290,6,AUTOMATIC,all wheel drive,4,Midsize,4dr SUV,26,18,204,46515,"Crossover,Luxury"
Acura,RSX,2006,premium unleaded (required),201,4,MANUAL,front wheel drive,2,Compact,2dr Hatchback,28,20,204,23845,"Hatchback,Factory Tuner,Luxury,Performance"
Acura,MDX,2016,premium unleaded (recommended),290,6,AUTOMATIC,front wheel drive,4,Midsize,4dr SUV,27,19,204,44515,"Crossover,Luxury"
Acura,Integra,2001,regular unleaded,140,4,MANUAL,front wheel drive,4,Compact,Sedan,28,22,204,21600,Luxury
Acura,Vigor,1992,regular unleaded,176,5,MANUAL,front wheel drive,4,Midsize,Sedan,24,18,204,2000,Luxury
Acura,RSX,2005,premium unleaded (required),210,4,MANUAL,front wheel drive,2,Compact,2dr Hatchback,28,20,204,23670,"Hatchback,Factory Tuner,Luxury,Performance"
Acura,TSX Sport Wagon,2012,premium unleaded (recommended),201,4,AUTOMATIC,front wheel drive,4,Midsize,Wagon,30,22,204,35010,Luxury
Acura,Vigor,1992,regular unleaded,176,5,MANUAL,front wheel drive,4,Midsize,Sedan,24,18,204,2000,Luxury
Acura,RDX,2017,premium unleaded (recommended),279,6,AUTOMATIC,front wheel drive,4,Midsize,4dr SUV,28,20,204,35570,"Crossover,Luxury"
Acura,Integra,2001,regular unleaded,140,4,MANUAL,front wheel drive,2,Compact,2dr Hatchback,28,22,204,21050,"Hatchback,Luxury"
Acura,Legend,1995,regular unleaded,200,6,MANUAL,front wheel drive,4,Midsize,Sedan,23,16,204,2135,Luxury
