Make,Model,Year,Engine.Fuel.Type,Engine.HP,Engine.Cylinders,Transmission.Type,Driven_Wheels,Number.of.Doors,Vehicle.Size,Vehicle.Style,highway.MPG,city.mpg,Popularity,MSRP,Market.Category
Acura,TSX Sport Wagon,2014,premium unleaded (recommended),201,4,AUTOMATIC,front wheel drive,4,Midsize,Wagon,30,22,204,31985,Luxury
Acura,Integra,2001,regular unleaded,140,4,MANUAL,front wheel drive,2,Compact,2dr Hatchback,28,22,204,19400,"Hatchback,Luxury"
Acura,Integra,2001,premium unleaded (required),195,4,MANUAL,front wheel drive,2,Compact,2dr Hatchback,28,22,204,24450,"Hatchback,Factory Tuner,Luxury,Performance"
Acura,RLX,2015,premium unleaded (recommended),310,6,AUTOMATIC,front wheel drive,4,Midsize,Sedan,31,20,204,56950,"Luxury,Performance"
Acura,Legend,1994,regular unleaded,230,6,MANUAL,front wheel drive,4,Midsize,Sedan,24,16,204,2066,"Luxury,Performance"
Acura,TSX Sport Wagon,2013,premium unleaded (recommended),201,4,AUTOMATIC,front wheel drive,4,Midsize,Wagon,30,22,204,31860,Luxury
Acura,TSX,2014,premium unleaded (recommended),201,4,MANUAL,front wheel drive,4,Midsize,Sedan,29,21,204,31635,Luxury
Acura,Integra,2000,regular unleaded,170,4,MANUAL,front wheel drive,4,Compact,Sedan,28,22,204,3622,"Luxury,Performance"
Acura,TL,2014,premium unleaded (recommended),305,6,AUTOMATIC,all wheel drive,4,Midsize,Sedan,26,18,204,43310,"Luxury,Performance"
Acura,TLX,2015,premium unleaded (recommended),290,6,AUTOMATIC,front wheel drive,4,Midsize,Sedan,34,21,204,35320,Luxury
Acura,RDX,2016,premium unleaded (recommended),279,6,AUTOMATIC,all wheel drive,4,Midsize,4dr SUV,28,19,204,40570,"Crossover,Luxury"
Acura,MDX,2015,premium unleaded (recommended),290,6,AUTOMATIC,front wheel drive,4,Midsize,4dr SUV,28,20,204,48840,"Crossover,Luxury"
Acura,MDX,2017,premium unleaded (recommended),290,6,AUTOMATIC,all wheel drive,4,Midsize,4dr SUV,26,19,204,58400,"Crossover,Luxury"
Acura,TSX,2013,premium unleaded (recommended),201,4,AUTOMATIC,front wheel drive,4,Midsize,Sedan,31,22,204,30510,Luxury
Acura,RSX,2004,regular unleaded,160,4,AUTOMATIC,front wheel drive,2,Compact,2dr Hatchback,31,22,204,20925,"Hatchback,Luxury,Performance"
Acura,RSX,2006,regular unleaded,155,4,MANUAL,front wheel drive,2,Compact,2dr Hatchback,31,24,204,20325,"Hatchback,Luxury"
Acura,TL,2013,premium unleaded (recommended),305,6,AUTOMATIC,all wheel drive,4,Midsize,Sedan,26,18,204,43185,"Luxury,Performance"
Acura,RSX,2004,regular unleaded,160,4,MANUAL,front wheel drive,2,Compact,2dr Hatchback,30,24,204,20025,"Hatchback,Luxury,Performance"
Acura,RDX,2016,premium unleaded (recommended),279,6,AUTOMATIC,front wheel drive,4,Midsize,4dr SUV,29,20,204,36670,"Crossover,Luxury"
Acura,RSX,2006,regular unleaded,155,4,AUTOMATIC,front wheel drive,2,Compact,2dr Hatchback,31,22,204,22375,"Hatchback,Luxury"
Acura,ZDX,2012,premium unleaded (required),300,6,AUTOMATIC,all wheel drive,4,Midsize,4dr Hatchback,23,16,204,56670,"Crossover,Hatchback,Luxury"
